"","x","y","z"
"A142",-0.422081466667146,-0.875802824771687,0.223161694342246
"A143",-0.204671338099624,-0.956800866879019,0.195519499479249
"A144",0.0026315666487449,-0.9823460623859,0.17527222512327
"A145",0.0976691808495907,-0.986701131230335,0.111888877157516
"A146",0.0872336390699019,-0.988693800269411,0.102550459303647
"A147",0.115892238177336,-0.985729830894244,0.102553174935467
"A148",0.332888814257946,-0.936497227140392,0.0852386898575378
"A149",0.521427341672464,-0.84805169410922,0.0568594022435526
"A150",0.722866115532727,-0.684879529448372,0.0388275979767934
"A151",0.864082877090295,-0.494431581147486,0.0304952932622562
"A152",0.960123429554791,-0.261685382055201,0.0295896989979935
"A153",0.503346298840827,0.8607720633315,-0.00941605053548788
"A154",0.297293933260207,0.952156659982493,0.0110084653655385
"A155",0.116127851085681,0.990301538816517,0.0350670925108618
"A156",0.111101975522273,0.991497934954475,0.0079813913547611
"A157",0.100228024960292,0.992541165688099,0.0168778143993929
"A158",0.0935314124468566,0.993358818471548,-0.000774849070890432
"A159",-0.281955877536288,0.95414778952875,0.0718737717699583
"A160",-0.496941742235646,0.858588390099246,0.100709213139437
"A161",-0.672953527052313,0.727815017819596,0.103763029185969
"A162",-0.83322739108192,0.531885101390959,0.122836721297602
"A163",-0.913919488742331,0.37215877745088,0.133749199516846
"A164",-0.970400530169939,0.15791197557275,0.156785508560728
"A165",-0.985533623568751,-0.0567486064748253,0.12888236184777
"A166",-0.939626742683386,-0.303760308217865,0.128061725885848
"A167",-0.83745874044206,-0.526332968100652,0.118653894595792
"A168",-0.68419014617008,-0.717044397859465,0.106151244552375
"A169",-0.521530470359603,-0.846769120597996,0.0734605145547584
"A170",-0.333096603101638,-0.939436747333104,0.0401170361030422
"A171",0.0604620502942652,-0.995427850517863,-0.0307466121727556
"A172",0.0677899670190881,-0.995138710736008,-0.0242939207881013
"A173",0.0703967145012453,-0.994886011857957,-0.0269718339171764
"A174",0.0923990182162442,-0.993413996371575,-0.00931370446229194
"A175",0.296351424610916,-0.952275048372069,-0.0214996825371046
